participantId,postalCode,Quant_Ertrag_0-500,Quant_Ertrag_500-1500,Quant_Ertrag_1500-4500
316,1226,0,0,0
317,5405,0,0,0
318,3296,1,1,1
319,4142,0,0,0
320,3013,0,0,0
321,5623,1,1,1
322,3613,0,0,1
323,6014,0,0,0
324,8555,1,1,1
325,5107,1,1,0
326,8602,1,1,1
327,4242,0,1,0
328,1450,0,0,0
329,4654,0,1,0
330,1294,0,0,0
331,3965,0,0,0
332,7031,0,0,0
333,3800,1,0,0
334,1023,0,0,1
335,8750,0,0,0
336,8055,0,0,0
337,6210,0,0,1
338,8952,0,0,0
339,9464,1,0,0
340,4055,0,0,0
341,1227,0,0,0
342,5200,0,0,1
343,1202,0,0,0
344,8046,0,0,0
345,3270,0,1,1
346,8052,0,1,0
347,8006,0,0,0
348,6233,1,1,1
349,8121,1,0,0
350,4052,0,0,0
351,3052,0,1,1
352,4105,1,1,0
353,5745,1,0,0
354,3018,0,0,1
355,1796,1,1,1
356,1267,1,1,1
357,6130,1,0,1
358,8630,0,0,0
359,4552,1,1,1
360,8006,0,0,0
361,8820,0,0,0
362,8052,0,0,0
363,8108,1,1,1
364,4433,1,0,0
365,1804,0,0,0
366,3293,0,1,1
367,4434,1,1,1
368,3018,0,0,1
369,6343,1,0,1
370,1860,1,1,1
371,2873,1,0,0
372,8004,0,0,0
373,5116,0,1,0
374,9042,0,0,0
375,3074,0,0,1
376,5605,1,1,1
377,3416,0,0,1
378,9555,1,1,1
379,4123,0,0,0
380,8330,1,1,0
381,8957,0,0,1
382,5034,0,0,0
383,1227,0,0,0
384,9532,0,0,1
385,3114,1,1,1
386,1110,0,0,1
387,2557,1,1,1
388,6312,0,1,1
389,8134,0,0,0
390,8570,0,0,1
391,9323,0,0,0
392,8302,0,0,0
393,2400,0,0,0
394,9008,0,0,0
395,8157,0,1,1
396,8805,0,0,0
397,1525,1,1,1
398,5036,0,0,0
399,8804,0,0,0
400,4132,0,0,0
401,4310,0,0,0
402,5314,0,0,1
403,4450,1,0,0
404,8600,0,0,0
405,8810,0,0,0
406,6314,0,0,0
407,8488,0,0,0
408,2108,1,0,0
409,4528,1,0,1
410,8833,1,0,0
411,7260,0,0,0
412,6463,1,0,0
413,1203,0,0,0
414,4665,0,0,0
415,8310,0,1,1
416,5745,0,1,0
417,1936,0,0,0
418,8956,0,0,0
419,1227,0,0,0
420,5703,0,0,1
421,8046,1,1,0
422,1628,1,1,0
423,1206,0,0,0
424,7278,0,0,0
425,1203,0,0,0
426,6330,0,0,1
427,1004,0,0,0
428,1030,0,0,1
429,5430,0,0,0
430,3997,0,0,0
431,2503,0,0,0
432,8784,0,0,0
433,8048,0,0,0
434,1971,1,0,0
435,8037,0,0,0
436,6110,0,1,1
437,1820,0,0,0
438,6034,0,1,1
439,1950,0,0,0
440,8340,0,0,0
441,4052,0,0,0
442,1217,0,1,0
443,8586,1,1,1
444,7000,1,0,0
445,9403,0,0,0
446,6010,1,0,0
447,4055,0,0,0
448,8600,0,0,0
449,8372,1,1,0
450,8706,0,0,0
451,8105,0,0,1
452,5646,1,1,1
453,8134,0,0,0
454,6033,0,0,1
455,1208,0,0,0
456,1220,0,0,0
457,8004,0,0,0
458,8405,0,0,0
459,4802,0,0,0
460,1053,1,1,1
461,8854,1,1,0
462,8123,1,0,0
463,1967,0,0,0
464,5703,1,1,1
465,3800,1,0,0
466,3027,0,1,1
467,3625,0,0,0
468,5053,1,1,1
469,4057,0,0,0
470,9320,0,0,0
471,1006,0,0,0
472,8953,0,0,0
473,9527,1,0,1
474,3715,1,0,0
475,1071,1,1,0
476,3213,1,1,1
477,1619,0,0,0
478,1007,0,0,0
479,8810,0,0,0
480,8152,0,0,0
481,4053,0,0,0
482,9642,0,0,0
483,1748,1,1,1
484,8057,0,0,0
485,5605,1,1,0
486,2520,0,0,1
487,8852,0,0,0
488,3008,0,0,0
489,4900,0,0,1
490,1965,1,0,0
491,1815,0,0,0
492,8049,1,0,0
493,1963,1,1,0
494,1020,0,0,0
495,5113,0,0,0
496,4144,0,0,0
497,8173,0,1,1
498,5432,0,0,0
499,8917,1,1,1
500,2108,1,0,0
501,4514,1,1,1
502,8203,0,0,0
503,9249,1,1,0
504,3267,1,1,1
505,8005,0,0,0
506,6402,1,0,0
507,5000,0,0,0
508,5107,1,1,0
509,6460,0,0,0
510,5040,0,1,1
511,1874,0,0,0
512,6314,0,0,0
513,1694,1,1,1
514,3123,1,1,1
515,3658,0,0,0
516,5442,0,1,0
517,1088,1,1,1
518,5734,1,1,1
519,8055,0,0,0
520,8102,0,0,0
521,4537,0,1,1
522,8506,1,1,1
523,4600,0,0,0
524,8610,0,0,1
525,8853,0,0,0
526,8967,1,1,1
527,3123,1,1,1
528,1018,0,0,0
529,4500,0,0,1
530,3929,0,0,0
531,8105,0,0,1
532,6300,0,0,0
533,3014,0,0,0
534,8360,1,1,1
535,9200,0,0,0
536,1802,1,0,0
537,8500,0,0,1
538,3924,0,0,0
539,3177,1,1,1
540,9472,1,1,0
541,3961,0,0,0
542,8268,1,0,0
543,1854,0,0,0
544,9100,0,0,0
545,6032,1,1,1
546,9436,0,1,1
547,7208,1,1,0
548,1030,0,0,1
549,4552,0,1,1
550,8857,1,0,0
551,8155,1,1,1
552,7323,1,1,0
553,3052,0,1,1
554,1030,0,0,1
555,6023,1,1,1
556,1203,0,0,0
557,4552,1,1,1
558,5708,1,0,1
559,8126,1,0,0
560,8132,0,0,1
561,2926,1,0,0
562,1937,0,0,0
563,1290,0,0,0
564,8424,0,0,1
565,6375,1,0,0
566,8632,1,0,0
567,8304,0,0,0
568,1450,0,0,0
569,8867,0,0,0
570,4058,0,0,0
571,5442,0,0,0
572,9225,1,1,1
573,2035,0,0,0
574,9403,0,0,0
575,8718,1,0,0
576,2056,0,1,0
577,8600,0,0,0
578,3770,1,0,0
579,6423,0,0,0
580,8032,0,0,0
581,2362,0,0,0
582,5073,0,1,1
583,4222,0,1,0
584,1206,0,0,0
585,1897,0,0,0
586,4434,1,1,1
587,8910,1,1,1
588,1084,1,1,1
589,9205,0,0,0
590,5614,1,1,1
591,6130,0,0,0
592,6017,1,1,1
593,4052,0,0,0
594,1913,1,1,0
595,1008,0,0,0
596,9230,0,0,0
597,1727,1,1,1
598,3432,1,1,1
599,1169,1,1,1
600,8855,1,1,0
601,8320,1,1,1
602,2504,0,0,0
603,1252,1,1,1
604,1205,0,0,0
605,8630,0,0,0
606,2540,0,1,1
607,8600,1,1,0
608,5405,0,0,0
609,1588,1,0,0
610,1814,0,0,0
611,2830,0,1,1
612,8200,0,0,0
613,5015,0,1,0
614,1660,1,0,0
615,1678,1,1,1
616,5430,0,0,0
617,8820,0,0,0
618,6314,1,0,0
619,2710,1,0,0
620,5623,0,1,1
621,9014,0,0,0
622,4534,1,1,1
623,9424,0,0,0
624,6340,0,0,1
625,9042,1,0,0
626,1219,0,0,0
627,1958,0,1,0
628,8344,1,0,0
629,8618,0,1,0
630,1260,0,1,1
631,3903,1,0,0
632,8755,0,0,0
633,2300,0,0,0
634,3110,0,1,1
635,5443,1,0,1
636,3965,0,0,0
637,3123,1,1,1
638,1400,0,1,1
639,9642,0,0,0
640,4106,1,1,0
641,3436,1,1,1
642,8048,0,0,0
643,4665,1,1,0
644,2088,0,0,0
645,6315,0,0,0
646,1206,0,0,0
647,1028,0,0,1
648,1637,0,0,0
649,1724,1,1,1
650,9304,1,0,0
651,5745,1,1,0
652,6467,0,0,0
653,6014,0,0,0
654,8472,0,1,1
655,1204,0,0,0
656,1963,1,1,0
657,1004,0,0,0
658,2525,0,1,0
659,1870,0,0,0
660,9320,0,0,0
661,1225,0,0,0
662,2300,0,0,0
663,8133,1,1,1
664,8905,1,1,1
665,4612,0,0,0
666,1209,0,0,0
667,1028,1,0,0
668,8304,0,0,0
669,5102,0,0,0
670,3904,0,0,0
671,8702,0,0,0
672,3012,0,0,0
673,5444,1,1,1
674,9642,0,0,0
675,1169,1,1,1
676,1007,0,0,0
677,6300,0,0,0
678,4448,1,0,1
679,3960,0,1,0
680,9405,0,0,0
681,6034,0,1,1
682,4102,0,0,0
683,1018,0,0,0
684,1227,0,0,0
685,6260,1,1,0
686,1421,1,1,1
687,5000,0,0,0
688,8610,0,1,1
689,6020,0,0,0
690,6006,0,0,0
691,5642,1,1,1
692,6207,1,1,1
693,1337,0,0,0
694,1700,0,0,1
695,3098,1,1,1
696,3552,1,1,0
697,8117,1,1,0
698,1728,1,1,1
699,1772,1,1,1
700,1205,0,0,0
701,9444,1,1,0
702,5644,1,1,1
703,3805,0,0,0
704,8903,0,0,0
705,8700,0,0,0
706,8954,0,0,0
707,5630,0,1,1
708,8308,0,1,1
709,7413,1,1,0
710,2555,0,0,1
711,1727,1,1,1
712,6023,0,1,1
713,3250,0,0,1
714,5613,1,1,1
715,1219,0,0,0
716,8307,0,1,1
717,4712,1,1,0
718,5630,1,1,1
719,5445,1,1,1
720,6374,0,0,0
721,5734,1,1,1
722,4102,0,0,0
723,3235,1,1,1
724,3613,0,0,1
725,1218,0,0,0
726,6010,0,0,0
727,8200,0,0,0
728,1145,1,1,1
729,4414,0,0,0
730,8805,0,0,0
731,6005,0,0,0
732,6014,0,0,0
733,5524,1,1,1
734,8005,0,0,0
735,1260,0,0,1
736,5022,0,0,0
737,4052,0,0,0
738,8032,0,0,0
739,3534,0,0,1
740,4513,1,1,0
741,7078,0,0,0
742,8580,1,1,1
743,1667,1,1,0
744,8108,1,1,1
